ds,ticker,y
2023-06-23 04:00:00,롯데월드잠실점,0.00093
2023-06-23 04:00:00,방이동 먹자골목,0.02306
2023-06-23 04:00:00,올림픽공원세계평화의문,0.0
2023-06-23 04:00:00,잠실역 롯데월드,0.01157
2023-06-23 05:00:00,롯데백화점에비뉴엘월드타워점,0.00425
2023-06-23 05:00:00,롯데월드몰,0.00037
2023-06-23 05:00:00,롯데월드잠실점,0.00181
2023-06-23 05:00:00,방이동 먹자골목,0.0234
2023-06-23 05:00:00,올림픽공원세계평화의문,0.0
2023-06-23 05:00:00,잠실역 롯데월드,0.01202
2023-06-23 06:00:00,롯데백화점에비뉴엘월드타워점,0.00701
2023-06-23 06:00:00,롯데월드몰,0.00072
2023-06-23 06:00:00,롯데월드잠실점,0.00453
2023-06-23 06:00:00,방이동 먹자골목,0.02538
2023-06-23 06:00:00,올림픽공원세계평화의문,0.0
2023-06-23 06:00:00,잠실역 롯데월드,0.01431
2023-06-23 07:00:00,롯데백화점에비뉴엘월드타워점,0.01409
2023-06-23 07:00:00,롯데월드몰,0.00297
2023-06-23 07:00:00,롯데월드잠실점,0.01103
2023-06-23 07:00:00,방이동 먹자골목,0.02547
2023-06-23 07:00:00,올림픽공원세계평화의문,0.02597
2023-06-23 07:00:00,잠실역 롯데월드,0.0171
2023-06-23 08:00:00,롯데백화점에비뉴엘월드타워점,0.01798
2023-06-23 08:00:00,롯데월드몰,0.00354
2023-06-23 08:00:00,롯데월드잠실점,0.00997
2023-06-23 08:00:00,방이동 먹자골목,0.02856
2023-06-23 08:00:00,올림픽공원세계평화의문,0.02968
2023-06-23 08:00:00,잠실역 롯데월드,0.02141
2023-06-23 09:00:00,롯데백화점에비뉴엘월드타워점,0.0286
2023-06-23 09:00:00,롯데월드몰,0.00512
2023-06-23 09:00:00,롯데월드잠실점,0.02349
2023-06-23 09:00:00,방이동 먹자골목,0.03163
2023-06-23 09:00:00,올림픽공원세계평화의문,0.04898
2023-06-23 09:00:00,잠실역 롯데월드,0.02744
2023-06-23 10:00:00,롯데백화점에비뉴엘월드타워점,0.05394
2023-06-23 10:00:00,롯데월드몰,0.0117
